Armas_Medios;Departamento;Municipio;Fecha_Hecho;Genero;Edad_Persona;Codigo_Dane;Delitos;Mes;Cantidad
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;30/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;8/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;11/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;13/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;16/04/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;13/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;6/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;13/05/2025;Masculino;Adolescentes;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;12/05/2025;Femenino;Adolescentes;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;28/04/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;8/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;23/01/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;1;1
Sin Empleo De Armas;Cundinamarca;Funza;14/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;14/05/2025;Masculino;Adolescentes;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;13/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;13/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;14/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;9/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;14/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Madrid;10/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;15/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;26/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma De Fuego;Cundinamarca;Funza;8/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;9/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;16/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;9/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Mosquera;9/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;9/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Mosquera;9/05/2025;Masculino;Adolescentes;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;9/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;8/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;10/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;9/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;9/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;21/04/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;12/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;11/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;19/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Funza;9/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;12/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;9/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;9/03/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;3;1
Sin Empleo De Armas;Cundinamarca;Mosquera;12/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Mosquera;9/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;9/03/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;3;1
Sin Empleo De Armas;Cundinamarca;Mosquera;4/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;12/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;13/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;6/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;21/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;13/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;8/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;10/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;8/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;29/04/2025;Femenino;Adolescentes;25473000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;14/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma De Fuego;Cundinamarca;Funza;5/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
No Reportado;Cundinamarca;Madrid;3/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;7/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;5/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;7/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;6/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;30/04/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
